stadiumXmonth,n,n_races,n_hits,mean_implied_p_norm,mean_actual_p,lift,mean_odds,ev_all_buy,wilson_lo,wilson_hi,lift_boot_lo,lift_boot_hi,ev_boot_lo,ev_boot_hi
1|2026-03,105,68,14,0.12690019815309606,0.13333333333333333,1.0506944455080847,6.107619047619047,0.8143492063492063,0.087885269482621,0.19720259572259247,0.645150973004468,1.4997626575430418,0.5001976751730103,1.1615268779801236
21|2025-11,189,121,25,0.1252520984103323,0.13227513227513227,1.0560711872610082,6.143915343915343,0.8126872148036167,0.09688402129110096,0.17804565734240163,0.7588301411585168,1.3770576043972487,0.5835760368815515,1.057677381826806
11|2025-08,206,125,28,0.12995336065521318,0.13592233009708737,1.0459316281762872,5.954368932038836,0.8093316995004243,0.10133809459900006,0.17994596945849173,0.785300272556596,1.3256141354030284,0.6081533861804115,1.0256132035929433
24|2025-09,234,133,32,0.13066432112359966,0.13675213675213677,1.046591262068996,5.914102564102564,0.8087661626123166,0.10393703509149349,0.1778710817810702,0.7877745606869611,1.3022414611767414,0.608125828159185,1.0046122954487278
22|2025-07,155,99,21,0.12984315862025592,0.13548387096774195,1.043442507155753,5.968387096774195,0.8086201873048909,0.09647686340734032,0.18699791163826998,0.72922035699373,1.3775330379171575,0.5637637799824092,1.0686817231754526
21|2026-02,170,97,23,0.1293175409506528,0.13529411764705881,1.0462162878482717,5.975294117647058,0.8084221453287196,0.09781765573384449,0.18419728414584263,0.7522279169245707,1.3444232020882507,0.5808968533006538,1.036705452692373
5|2025-12,153,97,20,0.12484699509917953,0.13071895424836602,1.0470332437278267,6.184313725490196,0.808407022939895,0.09223974265085896,0.18203143939402264,0.7181940768019478,1.375224566178759,0.5547908434618468,1.0582029783243925
6|2026-02,142,88,19,0.12843982495783826,0.13380281690140844,1.0417548991936936,6.020422535211266,0.8055494941479863,0.0935981002930317,0.1877010295292362,0.7216166978299474,1.3949657564850422,0.5569095719971666,1.0787413579919085
4|2025-06,63,44,8,0.12064734888403107,0.12698412698412698,1.052523144177722,6.326984126984127,0.8034265558075081,0.07305633925112838,0.2116311082724413,0.5119149695059896,1.6535120060246404,0.3931794587029709,1.2612768252261934
11|2026-04,102,60,14,0.13253198340874345,0.13725490196078433,1.0356360663333233,5.842156862745099,0.8018646674356018,0.09052395661508614,0.20273218285146674,0.6504080882642438,1.4571612866232282,0.5032646579993055,1.1291138160894512
16|2026-01,199,118,27,0.13239720619840267,0.135678391959799,1.024782892748351,5.8999999999999995,0.800502512562814,0.1006044428384057,0.18052587456906105,0.763754361031107,1.298326510304753,0.5953195730517088,1.0143309454394003
9|2025-10,140,88,19,0.13176204226618135,0.1357142857142857,1.0299953110936164,5.892142857142857,0.7996479591836734,0.09496045711349346,0.19028104415439037,0.702305286743451,1.3782108310292411,0.5426972893247654,1.0697639008446491
17|2025-07,156,98,20,0.12389449438457967,0.1282051282051282,1.0347927794690208,6.21025641025641,0.7961867192636423,0.09043487992696242,0.17865177277995908,0.6970191360251502,1.3874376552292305,0.5368501829215364,1.0637505223017856
16|2025-09,78,50,10,0.12376104397933166,0.1282051282051282,1.0359085870877003,6.206410256410256,0.7956936226166994,0.07820114562869171,0.20313694444947153,0.5813614669240146,1.4995059032059814,0.4434934760000234,1.1533339285714286
1|2025-10,95,58,12,0.12088081235809263,0.12631578947368421,1.0449614542586894,6.28842105263158,0.7943268698060942,0.080422565435421,0.19290423374094676,0.6448855765809126,1.4280466127364366,0.48945650873352314,1.0837503314179542
6|2025-09,133,81,17,0.12327460715689126,0.12781954887218044,1.0368684339793097,6.214285714285714,0.7943071965628357,0.08751488574844907,0.18296443675993213,0.6798713395654002,1.4143961743859337,0.5216741066572474,1.0824203807070207
13|2025-06,242,143,32,0.12897546204828877,0.1322314049586777,1.0252446694796091,6.004545454545454,0.7939894815927874,0.10044781159640234,0.17214733484991748,0.7823855461510392,1.288088558145654,0.6053256527815851,0.9974594889625641
21|2025-06,70,46,9,0.12437283420140487,0.12857142857142856,1.0337581305192791,6.174285714285714,0.7938367346938775,0.07636027577314684,0.20842603446423424,0.5521159167579865,1.5303781660586355,0.4223632697337322,1.173303680352262
23|2026-03,115,69,15,0.12671354491889442,0.13043478260869565,1.0293673236920575,6.062608695652173,0.7907750472589791,0.08716818680808992,0.1906908034683571,0.6595101762162365,1.3924374469691312,0.5104584099547909,1.0682855540230292
