stadiumXodds_band,n,n_races,n_hits,mean_implied_p_norm,mean_actual_p,lift,mean_odds,mean_odds_low,mean_odds_high,ev_all_buy,ev_actual_low,ev_actual_high,ev_actual_corrected,wilson_lo,wilson_hi,lift_boot_lo,lift_boot_hi,ev_boot_lo,ev_boot_hi,ev_corrected_boot_lo,ev_corrected_boot_hi
"6|[1,5)",6136,2180,1460,0.30915012485440985,0.2379400260756193,0.7696585152203125,2.8401075619295955,2.8401075619295955,5.511310299869622,0.6171936114732725,0.6171936114732725,1.1396023468057368,0.7451837516297262,0.22911519761757132,0.2469958526299313,0.7488545183552048,0.7927705045176966,0.5983707977519199,0.6379897985497064,0.72121513226793,0.7705439866096012
"12|[1,5)",6451,2248,1510,0.3064300209359348,0.23407223686250195,0.7638684883014101,2.8597581770268174,2.8597581770268174,5.33900170516199,0.6152844520229421,0.6152844520229421,1.1092543791660208,0.7363070841729964,0.22551355327559555,0.2428538866550942,0.7413703460478827,0.7857179946550806,0.5952982450282129,0.6348817498298704,0.7125171703483841,0.7600688806684556
"11|[1,5)",5834,2017,1402,0.3111097703176445,0.2403153925265684,0.7724456621249962,2.817415152553994,2.817415152553994,5.559376071306136,0.6118272197463146,0.6118272197463146,1.162410010284539,0.7467200034281796,0.2312357629320747,0.2496357702570262,0.7501239665718346,0.7945756869321792,0.5918581024653451,0.6316879599561782,0.7208438658132761,0.7723037755162601
"8|[1,5)",6105,2129,1428,0.3085465802626814,0.2339066339066339,0.7580918048338027,2.842260442260442,2.842260442260442,5.72961506961507,0.6111547911547911,0.6111547911547911,1.1957575757575756,0.7543824733824733,0.22511428772470998,0.2429347239893369,0.7361857282246018,0.7803357224645459,0.5906654915313874,0.6312202503802098,0.7274199241949069,0.7816008127406049
"23|[1,5)",5524,1948,1304,0.30769743490330914,0.23606082548877624,0.767184898902248,2.8481716147719043,2.8481716147719043,5.298081100651701,0.6099746560463433,0.6099746560463433,1.0924873280231715,0.7281902606806662,0.22679330952556304,0.245586759021105,0.7434956260921474,0.7914516442671842,0.5886160359854495,0.6315019956794029,0.7026151008573115,0.7541709870809624
"21|[1,5)",6451,2185,1478,0.30458647701886826,0.2291117656177337,0.752205967448584,2.8785614633390177,2.8785614633390177,7.950627809641916,0.6081537746085878,0.6081537746085878,1.5686560223221206,0.8434768252984033,0.22061975301183723,0.23783090351913355,0.7314837135942671,0.7726301270121817,0.5891905112401044,0.6267551172932964,0.8127091326746533,0.8770126142926068
"15|[1,5)",6280,2184,1476,0.3091823707830384,0.23503184713375797,0.760172213372043,2.8446337579617835,2.8446337579617835,6.757659235668791,0.6081369426751592,0.6081369426751592,1.330891719745223,0.7852118630573248,0.2263460976171421,0.243945804974502,0.739614614819284,0.7825105166041623,0.5899445706590957,0.628033809190023,0.7550865405619068,0.8163366715023358
"20|[1,5)",6485,2169,1514,0.3067066795124337,0.23346183500385506,0.761189274961293,2.861372397841172,2.861372397841172,5.526723207401696,0.6051966075558982,0.6051966075558982,1.1192444101773322,0.7311383191981495,0.22493341147785956,0.24221256534779778,0.7400857759484075,0.7835744324028201,0.586311926399377,0.6249015995185845,0.7078440691185638,0.7553110998832798
"16|[5,10)",1108,916,110,0.130900807262512,0.09927797833935018,0.758421436930144,6.233393501805055,6.233393501805055,21.350180505415164,0.6046931407942239,0.6046931407942239,1.2845667870036102,0.7712621841155235,0.08546309260523846,0.11504508417176856,0.6519337007865618,0.8742544427629606,0.5197356627284492,0.6963564221652788,0.6566911853586953,0.8973099924258182
"22|[1,5)",5571,1958,1309,0.3088681195095972,0.23496679231735776,0.7607350110798885,2.8423981331897323,2.8423981331897323,5.748519116855142,0.604559325076288,0.604559325076288,1.2047926763597199,0.7516164961407288,0.22575344356922697,0.24443744165468298,0.7368289159403029,0.7830454086742994,0.5837072757714814,0.6251047040640104,0.7223833798683634,0.7820817287420928
"16|[1,5)",6159,2078,1456,0.31256813545253753,0.23640201331384966,0.7563215392112372,2.7963630459490174,2.7963630459490174,8.622812144828705,0.6034258808248092,0.6034258808248092,1.742782919305082,0.882568355252476,0.22761403731771615,0.24542147580422144,0.7355680585654588,0.7779167084251967,0.5846533349618748,0.6226258822643226,0.831808312703674,0.9352549502503148
"13|[1,5)",5099,1798,1206,0.3086718816067149,0.23651696411060993,0.7662407177468824,2.846636595410865,2.846636595410865,5.670543243773289,0.603157481859188,0.603157481859188,1.173759560698176,0.7429549911747402,0.22686980552773786,0.24644358406064396,0.7421001384652532,0.7902369021722441,0.5811045089804713,0.6247012653829683,0.7153551092688724,0.7698722831257925
"11|[5,10)",1106,879,109,0.13304993844791638,0.09855334538878843,0.7407244718671406,6.124773960216999,6.124773960216999,12.317902350813743,0.5996383363471971,0.5996383363471971,1.120886075949367,0.7273440325497287,0.08477646361416441,0.11428950548571273,0.6316011576479729,0.8484670010919227,0.5089910247454542,0.6862033313954385,0.6150038691175318,0.8373320203136824
"24|[5,10)",1391,1117,135,0.13156188764520638,0.09705248023005032,0.7376944947139982,6.1992092020129395,6.1992092020129395,11.569805895039538,0.5986340762041696,0.5986340762041696,1.121135873472322,0.726647016534867,0.08476830594733598,0.11090110552550253,0.6412302922148827,0.842668822958988,0.5202058332822908,0.6822484609145424,0.6309236550584892,0.8346526091771713
"9|[5,10)",1214,953,118,0.13133756181560938,0.09719934102141681,0.7400726774407406,6.210296540362438,6.210296540362438,12.55148270181219,0.591845140032949,0.591845140032949,1.2056013179571663,0.7422154036243822,0.08409745060795573,0.11209261751356875,0.6369897070065689,0.8422613837197163,0.5073787584177724,0.6734860096386999,0.6344445623376131,0.8504102989238739
"18|[1,5)",5730,2050,1311,0.3087810267985535,0.22879581151832462,0.7409646048867806,2.841849912739965,2.841849912739965,6.576980802792322,0.5839441535776614,0.5839441535776614,1.2841012216404886,0.755482635253054,0.21979741904594557,0.23805019296879015,0.7174830563741851,0.7638160092838149,0.5633255040790289,0.6040346319354121,0.7272918611632934,0.782471207334706
